ms_since_boot,temp_C,press_Pa
346644,26.19,1415.82
347455,26.19,1415.86
348270,26.19,1415.90
349081,26.19,1415.87
349892,26.19,1415.83
350703,26.19,1415.85
351515,26.19,1415.85
352326,26.19,1415.84
353137,26.19,1415.85
353948,26.19,1415.83
354759,26.19,1415.81
355570,26.19,1415.83
356381,26.19,1415.82
357193,26.19,1415.84
358004,26.19,1415.85
358815,26.19,1415.82
359626,26.19,1415.83
360437,26.19,1415.76
361248,26.19,1415.81
362060,26.19,1415.80
362871,26.19,1415.78
363682,26.19,1415.74
364493,26.19,1415.78
365304,26.19,1415.78
366115,26.19,1415.76
366930,26.19,1415.75
367741,26.19,1415.77
368552,26.19,1415.74
369363,26.19,1415.75
370174,26.19,1415.76
370985,26.19,1415.77
371797,26.19,1415.75
372608,26.19,1415.77
373419,26.19,1415.73
374230,26.19,1415.75
375041,26.19,1415.72
375852,26.19,1415.71
376664,26.19,1415.71
377475,26.19,1415.69
378286,26.12,1415.71
379097,26.19,1415.75
379908,26.19,1415.79
380719,26.19,1415.71
381530,26.19,1415.73
382342,26.19,1415.70
383153,26.19,1415.70
383964,26.19,1415.73
384775,26.12,1415.72
385589,26.19,1415.65
386401,26.19,1415.68
387212,26.12,1415.69
388023,26.19,1415.68
388834,26.12,1415.65
389645,26.12,1415.65
390456,26.12,1415.63
391267,26.12,1415.64
392079,26.12,1415.61
392890,26.12,1415.63
393701,26.12,1415.62
394512,26.12,1415.64
395323,26.12,1415.67
396134,26.12,1415.58
396946,26.12,1415.63
397757,26.12,1415.60
398568,26.12,1415.56
399379,26.12,1415.58
400190,26.12,1415.61
401001,26.12,1415.58
401813,26.12,1415.63
402624,26.12,1415.61
403435,26.12,1415.59
404246,26.12,1415.62
405054,26.12,1415.58
405865,26.12,1415.57
406676,26.12,1415.58
407488,26.12,1415.62
408299,26.12,1415.60
409110,26.12,1415.57
409921,26.12,1415.59
410732,26.12,1415.59
411543,26.12,1415.61
412354,26.12,1415.57
413165,26.12,1415.55
413976,26.12,1415.59
414787,26.12,1415.63
415598,26.12,1415.61
416409,26.12,1415.62
417220,26.12,1415.58
418031,26.12,1415.58
418842,26.12,1415.56
419653,26.12,1415.57
420464,26.12,1415.56
421276,26.12,1415.58
422087,26.12,1415.55
422898,26.12,1415.53
423712,26.12,1415.58
424523,26.12,1415.58
425334,26.12,1415.60
426145,26.12,1415.56
426956,26.12,1415.52
427768,26.12,1415.57
428579,26.12,1415.53
429390,26.12,1415.55
430201,26.12,1415.55
431012,26.12,1415.52
431823,26.12,1415.53
432634,26.12,1415.51
433445,26.12,1415.49
434256,26.12,1415.54
435067,26.12,1415.55
435878,26.12,1415.51
436689,26.12,1415.50
437500,26.12,1415.52
438311,26.12,1415.51
439122,26.12,1415.53
439934,26.12,1415.48
440745,26.12,1415.54
441556,26.12,1415.53
442370,26.12,1415.51
443181,26.12,1415.53
443992,26.12,1415.47
444803,26.06,1415.48
445614,26.12,1415.52
446425,26.12,1415.54
447236,26.12,1415.49
448048,26.12,1415.54
448859,26.06,1415.48
449670,26.12,1415.49
450481,26.12,1415.49
451292,26.12,1415.48
452103,26.06,1415.50
452914,26.06,1415.48
453725,26.12,1415.47
454536,26.12,1415.50
455347,26.12,1415.50
456158,26.12,1415.52
456969,26.12,1415.44
457780,26.12,1415.47
458591,26.06,1415.52
459403,26.12,1415.47
460213,26.06,1415.46
461028,26.06,1415.51
461839,26.12,1415.46
462650,26.06,1415.49
463461,26.06,1415.46
464273,26.12,1415.44
465084,26.06,1415.46
465895,26.06,1415.52
466706,26.06,1415.48
467517,26.06,1415.46
468329,26.06,1415.47
469140,26.06,1415.49
469951,26.12,1415.43
470762,26.06,1415.46
471574,26.06,1415.46
472385,26.06,1415.45
473196,26.12,1415.44
474008,26.06,1415.48
474819,26.06,1415.40
475630,26.06,1415.43
476441,26.06,1415.41
477253,26.06,1415.46
478064,26.06,1415.49
478875,26.06,1415.47
479686,26.06,1415.44
480501,26.06,1415.42
481312,26.06,1415.40
482124,26.06,1415.43
482935,26.06,1415.42
483746,26.06,1415.44
484558,26.06,1415.41
485369,26.06,1415.44
486181,26.06,1415.41
486992,26.06,1415.39
487803,26.06,1415.40
488615,26.06,1415.43
489426,26.06,1415.40
490238,26.06,1415.44
491049,26.06,1415.42
491860,26.06,1415.45
492672,26.06,1415.41
493483,26.06,1415.43
494294,26.06,1415.41
495106,26.06,1415.42
495917,26.06,1415.42
496728,26.06,1415.38
497540,26.06,1415.40
498351,26.06,1415.42
499166,26.06,1415.41
499977,26.06,1415.43
500789,26.06,1415.42
501600,26.06,1415.45
502411,26.06,1415.39
503223,26.06,1415.39
504034,26.06,1415.36
504846,26.06,1415.39
505657,26.06,1415.43
506468,26.06,1415.37
507280,26.06,1415.35
508091,26.06,1415.38
508903,26.06,1415.36
509714,26.06,1415.37
510525,26.06,1415.37
511337,26.06,1415.38
512148,26.06,1415.34
512960,26.06,1415.35
513771,26.06,1415.36
514582,26.06,1415.38
515394,26.06,1415.33
516205,26.06,1415.32
517017,26.06,1415.32
517831,26.06,1415.31
518643,26.06,1415.36
519454,26.06,1415.31
520266,26.06,1415.30
521077,26.06,1415.31
521888,26.06,1415.36
522700,26.06,1415.33
523511,26.06,1415.34
524323,26.06,1415.26
525134,26.06,1415.37
525945,26.06,1415.30
526757,26.06,1415.32
527568,26.06,1415.31
528380,26.06,1415.32
529191,26.06,1415.32
530002,26.06,1415.35
530814,26.00,1415.33
531625,26.06,1415.30
532437,26.06,1415.28
533248,26.06,1415.35
534059,26.06,1415.29
534871,26.06,1415.33
535682,26.06,1415.27
536497,26.00,1415.27
537308,26.00,1415.26
538120,26.00,1415.31
538931,26.00,1415.28
539742,26.06,1415.25
540554,26.00,1415.30
541365,26.00,1415.30
542177,26.00,1415.27
542988,26.00,1415.29
543799,26.00,1415.26
544611,26.06,1415.28
545422,26.00,1415.27
546234,26.06,1415.22
547045,26.00,1415.23
547856,26.00,1415.32
548668,26.00,1415.23
549479,26.00,1415.24
550291,26.00,1415.23
551102,26.00,1415.23
551913,26.00,1415.22
552725,26.00,1415.23
553536,26.00,1415.25
554348,26.00,1415.21
555169,26.00,1415.20
555983,26.00,1415.22
556795,26.00,1415.20
557606,26.00,1415.20
558417,26.00,1415.24
559228,26.00,1415.23
560040,26.00,1415.23
560851,26.00,1415.19
561662,26.00,1415.21
562474,26.00,1415.23
563285,26.00,1415.19
564096,26.00,1415.20
564908,26.00,1415.19
565719,26.00,1415.17
566531,26.00,1415.19
567342,26.00,1415.20
568153,26.00,1415.17
568965,26.00,1415.18
569776,26.00,1415.19
570588,26.00,1415.17
571399,26.00,1415.18
572210,26.00,1415.17
573022,26.00,1415.17
573833,26.00,1415.19
574648,26.00,1415.19
575459,26.00,1415.15
576271,26.00,1415.18
577082,26.00,1415.15
577894,26.00,1415.11
578705,26.00,1415.15
579516,26.00,1415.17
580328,26.00,1415.13
581139,26.00,1415.17
581951,26.00,1415.15
582762,26.00,1415.10
583573,26.00,1415.11
584385,26.00,1415.15
585196,26.00,1415.16
586008,26.00,1415.13
586819,26.00,1415.09
587630,26.00,1415.05
588442,26.00,1415.15
589253,25.94,1415.08
590065,26.00,1415.11
590876,26.00,1415.05
591687,26.00,1415.08
592499,26.00,1415.12
593313,25.94,1415.09
594125,26.00,1415.08
594936,26.00,1415.11
595747,26.00,1415.07
596559,25.94,1415.07
597370,25.94,1415.05
598181,25.94,1415.07
598993,25.94,1415.06
599804,25.94,1415.09
600615,26.00,1415.08
601426,25.94,1415.06
602238,25.94,1415.05
