ms_since_boot,temp_C,press_Pa # long run op 4 sept
3789913,24.87,1411.62
3790724,24.87,1411.57
3791534,24.87,1411.57
3792345,24.87,1411.57
3793156,24.87,1411.57
3793966,24.94,1411.57
3794777,24.87,1411.58
3795588,24.87,1411.58
3796398,24.87,1411.61
3797209,24.87,1411.61
3798020,24.87,1411.60
3798830,24.87,1411.58
3799641,24.87,1411.56
3800452,24.87,1411.60
3801263,24.87,1411.61
3802073,24.87,1411.56
3802884,24.87,1411.57
3803695,24.87,1411.58
3804506,24.87,1411.57
3805316,24.87,1411.60
3806127,24.87,1411.58
3806941,24.87,1411.57
3807752,24.87,1411.58
3808563,24.87,1411.61
3809374,24.87,1411.57
3810186,24.87,1411.58
3810997,24.87,1411.56
3811808,24.87,1411.60
3812619,24.87,1411.58
3813430,24.87,1411.61
3814241,24.87,1411.57
3815052,24.87,1411.58
3815863,24.87,1411.60
3816674,24.87,1411.61
3817485,24.87,1411.58
3818296,24.87,1411.58
3819107,24.87,1411.60
3819918,24.87,1411.61
3820729,24.87,1411.54
3821540,24.87,1411.59
3822351,24.87,1411.57
3823162,24.87,1411.54
3823973,24.87,1411.56
3824785,24.87,1411.59
3825593,24.87,1411.60
3826404,24.87,1411.59
3827216,24.87,1411.61
3828027,24.87,1411.62
3828838,24.87,1411.56
3829649,24.87,1411.60
3830460,24.87,1411.63
3831271,24.87,1411.56
3832083,24.87,1411.60
3832894,24.87,1411.58
3833705,24.87,1411.57
3834516,24.87,1411.58
3835327,24.87,1411.56
3836138,24.87,1411.60
3836949,24.87,1411.57
3837761,24.87,1411.57
3838572,24.87,1411.60
3839383,24.87,1411.58
3840194,24.87,1411.54
3841005,24.87,1411.60
3841816,24.87,1411.58
3842628,24.87,1411.55
3843442,24.87,1411.61
3844253,24.87,1411.57
3845064,24.87,1411.58
3845875,24.87,1411.56
3846686,24.87,1411.57
3847498,24.87,1411.58
3848309,24.87,1411.57
3849120,24.87,1411.61
3849931,24.87,1411.59
3850742,24.87,1411.56
3851553,24.87,1411.58
3852364,24.87,1411.58
3853175,24.87,1411.58
3853986,24.87,1411.59
3854798,24.87,1411.60
3855609,24.87,1411.58
3856420,24.87,1411.60
3857231,24.87,1411.57
